Brand,Model,Capacity,Energy Rating,Type,Features,Color,Material,Warranty Period,Country of Manufacture,Price,Random Numeric Feature 1,Random Text Feature 2,Irrelevant Category Feature 3
Frigidaire,Model26,746.0,A++,Double Door,Ice Dispenser,White,Stainless Steel,,USA,1086.0,3162.0,Text26,Category1
Frigidaire,Model27,730.0,,Side-by-Side,None,Gray,Stainless Steel,8.0,USA,1385.0,2059.0,Text27,Category1
Panasonic,Model28,275.0,,Side-by-Side,Ice Dispenser,White,Stainless Steel,1.0,India,439.0,,Text28,Category2
GE,Model29,692.0,A++,Double Door,Smart Connectivity,Black,Stainless Steel,3.0,Germany,627.0,4101.0,Text29,Category1
Haier,Model30,435.0,A,Side-by-Side,None,Silver,Glass,2.0,,1885.0,4616.0,Text30,Category2
Bosch,Model31,751.0,B,Side-by-Side,None,White,Glass,9.0,Germany,1362.0,1209.0,Text31,
Electrolux,Model32,-9.0,B,,None,Silver,Glass,5.0,Germany,293.0,3118.0,Text32,
GE,Model33,789.0,A++,Side-by-Side,Ice Dispenser,Silver,Plastic,4.0,USA,1349.0,1221.0,Text33,Category3
GE,Model34,150.0,A,Side-by-Side,None,Silver,Plastic,5.0,China,493.0,1012.0,Text34,Category3
Siemens,Model35,365.0,A+,Side-by-Side,,Gray,Glass,3.0,USA,983.0,4353.0,Text35,Category2
Panasonic,Model36,149.0,A+,Single Door,Smart Connectivity,Silver,Stainless Steel,3.0,Germany,887.0,2606.0,Text36,Category3
Siemens,Model37,447.0,A,Double Door,None,Black,Plastic,6.0,China,762.0,3210.0,Text37,Category1
GE,Model38,661.0,A,Side-by-Side,None,Black,Plastic,2.0,China,614.0,1498.0,Text38,Category2
Siemens,Model39,726.0,B,Single Door,Ice Dispenser,White,Plastic,4.0,India,1939.0,1041.0,Text39,Category2
Electrolux,Model40,594.0,A++,Single Door,Smart Connectivity,Gray,Glass,1.0,USA,504.0,4766.0,Text40,Category1
Whirlpool,Model41,245.0,B,Side-by-Side,Water Dispenser,White,Glass,6.0,USA,638.0,4839.0,Text41,Category1
Haier,,443.0,A+,Side-by-Side,Water Dispenser,White,Stainless Steel,9.0,Germany,1034.0,1589.0,Text42,Category2
Samsung,Model43,632.0,B,Single Door,Water Dispenser,Silver,Plastic,9.0,India,1287.0,1180.0,Text43,Category3
GE,,405.0,A+,Side-by-Side,Smart Connectivity,Silver,Stainless Steel,7.0,China,518.0,3347.0,Text44,Category2
Bosch,Model45,736.0,B,Single Door,None,Silver,Plastic,4.0,USA,1957.0,,Text45,Category3
Whirlpool,Model46,590.0,B,Double Door,Water Dispenser,,Stainless Steel,6.0,USA,1205.0,2592.0,Text46,Category1
Bosch,Model47,419.0,,Double Door,Smart Connectivity,White,Glass,8.0,Germany,545.0,3611.0,Text47,Category1
GE,Model48,327.0,B,Single Door,None,White,Plastic,4.0,Germany,360.0,2920.0,Text48,Category2
Electrolux,Model49,164.0,A++,Single Door,None,White,Glass,5.0,Germany,708.0,4025.0,Text49,Category1
Panasonic,Model50,469.0,B,Side-by-Side,Water Dispenser,White,Stainless Steel,2.0,USA,701.0,3720.0,Text50,Category3
Electrolux,Model51,616.0,A+,Double Door,Smart Connectivity,Black,Glass,5.0,Germany,1926.0,3368.0,Text51,Category3
Bosch,Model52,748.0,A++,Side-by-Side,Water Dispenser,Black,Plastic,2.0,China,1300.0,4711.0,Text52,Category1
GE,Model53,495.0,A+,Double Door,Smart Connectivity,Silver,,1.0,India,1751.0,3815.0,Text53,Category1
LG,Model54,221.0,B,Side-by-Side,None,Gray,Plastic,3.0,India,1923.0,,Text54,Category1
Whirlpool,Model55,406.0,A+,Single Door,Ice Dispenser,Black,Plastic,9.0,USA,,1230.0,Text55,Category1
Electrolux,Model56,,A+,Side-by-Side,Water Dispenser,Gray,Stainless Steel,5.0,China,1127.0,2453.0,,Category3
Siemens,Model57,679.0,A+,Single Door,None,Silver,Plastic,8.0,China,409.0,4510.0,Text57,Category3
Whirlpool,Model58,449.0,A++,Double Door,Ice Dispenser,White,,2.0,India,1872.0,1014.0,Text58,Category3
LG,Model59,252.0,B,Side-by-Side,Water Dispenser,White,Stainless Steel,8.0,India,680.0,2152.0,Text59,Category1
Frigidaire,Model60,339.0,,Side-by-Side,None,White,Plastic,,Germany,281.0,1122.0,Text60,Category1
Samsung,Model61,694.0,A++,Side-by-Side,Water Dispenser,Gray,Glass,3.0,India,944.0,4154.0,Text61,Category1
GE,Model62,405.0,B,Side-by-Side,Smart Connectivity,Gray,Plastic,1.0,China,1684.0,3599.0,Text62,Category3
Frigidaire,Model63,348.0,A,Double Door,Water Dispenser,Black,Glass,6.0,China,1909.0,1861.0,Text63,Category3
LG,Model64,420.0,A+,Single Door,Smart Connectivity,Gray,Plastic,3.0,India,823.0,3675.0,,Category1
Electrolux,Model65,303.0,A,Single Door,Ice Dispenser,Black,,9.0,USA,,3253.0,Text65,Category3
GE,Model66,109.0,A,Single Door,Smart Connectivity,White,Glass,6.0,,283.0,4843.0,Text66,Category2
Bosch,Model67,777.0,A,Single Door,Water Dispenser,Silver,Glass,,China,496.0,1449.0,Text67,Category3
Panasonic,Model68,,,Side-by-Side,Water Dispenser,Black,Plastic,1.0,India,1327.0,2309.0,Text68,Category2
LG,Model69,643.0,A++,Double Door,Water Dispenser,White,Glass,4.0,Germany,1981.0,1795.0,Text69,Category3
Electrolux,Model70,132.0,,Single Door,Smart Connectivity,Gray,Plastic,2.0,China,1500.0,4165.0,Text70,Category3
Whirlpool,Model71,627.0,A+,Side-by-Side,,White,Plastic,,Germany,1971.0,,Text71,Category1
Electrolux,Model72,301.0,A,Side-by-Side,Ice Dispenser,White,Glass,7.0,India,514.0,1053.0,Text72,Category2
Bosch,Model73,223.0,B,Side-by-Side,Ice Dispenser,Black,Plastic,3.0,Germany,1941.0,1939.0,Text73,Category2
Samsung,Model74,,A+,Double Door,None,,Glass,7.0,India,248.0,4589.0,Text74,Category3
Haier,,177.0,A,Double Door,Ice Dispenser,Silver,,5.0,USA,1830.0,4860.0,Text75,Category3
Siemens,Model76,353.0,B,Single Door,None,White,,4.0,Germany,743.0,3930.0,Text76,Category1
Siemens,Model77,453.0,A++,Double Door,Water Dispenser,White,,2.0,USA,1174.0,1389.0,Text77,Category3
Siemens,Model78,279.0,A,Double Door,Water Dispenser,Black,Glass,8.0,Germany,1427.0,2092.0,Text78,Category3
Samsung,Model79,157.0,B,Side-by-Side,Smart Connectivity,White,Stainless Steel,6.0,India,1208.0,1885.0,Text79,Category1
Electrolux,Model80,787.0,B,Single Door,None,White,Plastic,9.0,Germany,946.0,1341.0,Text80,Category3
Whirlpool,Model81,376.0,B,Single Door,,Silver,Plastic,5.0,USA,1466.0,4897.0,Text81,Category1
Whirlpool,Model82,759.0,A,Single Door,Smart Connectivity,White,Glass,7.0,Germany,1898.0,3148.0,Text82,Category3
GE,Model83,449.0,A++,Single Door,Water Dispenser,Silver,Stainless Steel,9.0,Germany,927.0,4635.0,Text83,Category2
LG,Model84,245.0,B,Single Door,None,Gray,Plastic,4.0,India,923.0,4053.0,Text84,Category3
Siemens,Model85,221.0,A,Single Door,Ice Dispenser,White,Stainless Steel,2.0,Germany,676.0,4500.0,Text85,Category1
Whirlpool,Model86,416.0,A++,Side-by-Side,None,Gray,Plastic,2.0,USA,1808.0,1954.0,Text86,Category1
Haier,Model87,766.0,B,Double Door,None,Gray,Stainless Steel,2.0,USA,1588.0,1226.0,Text87,Category2
Frigidaire,Model88,422.0,A,Side-by-Side,Smart Connectivity,Black,Stainless Steel,8.0,India,376.0,4221.0,Text88,Category1
Whirlpool,Model89,795.0,A,Double Door,Water Dispenser,Silver,Plastic,1.0,China,1788.0,4858.0,Text89,Category1
Electrolux,Model90,750.0,A,Single Door,Smart Connectivity,Silver,Glass,4.0,China,1262.0,1489.0,Text90,
GE,Model91,660.0,A++,Side-by-Side,None,Silver,Glass,7.0,Germany,1747.0,4525.0,Text91,Category2
Siemens,Model92,499.0,A,Double Door,None,Gray,Stainless Steel,7.0,China,1703.0,2453.0,Text92,Category1
Electrolux,Model93,148.0,A,Side-by-Side,None,Silver,Plastic,8.0,USA,377.0,1387.0,Text93,Category2
Br@ndX,Model94,297.0,B,,Smart Connectivity,Gray,Plastic,4.0,Germany,841.0,2937.0,Text94,
GE,Model95,635.0,,Single Door,None,Silver,Plastic,6.0,Germany,691.0,4873.0,Text95,Category1
GE,Model96,568.0,A+,Side-by-Side,Ice Dispenser,White,Glass,4.0,,1040.0,2224.0,Text96,Category3
Electrolux,Model97,132.0,B,Single Door,None,Gray,Glass,9.0,USA,1744.0,2185.0,Text97,Category3
Haier,Model98,191.0,B,Double Door,Ice Dispenser,Gray,Glass,8.0,Germany,1423.0,3511.0,Text98,Category1
Samsung,Model99,657.0,A,Side-by-Side,Water Dispenser,White,,9.0,USA,1544.0,4087.0,Text99,
Electrolux,Model100,,A++,Single Door,Smart Connectivity,Black,Stainless Steel,9.0,India,1807.0,2505.0,,
Whirlpool,Model101,333.0,A+,Side-by-Side,Water Dispenser,White,Glass,3.0,Germany,878.0,1919.0,Text101,Category1
GE,Model102,705.0,A++,Double Door,Ice Dispenser,Gray,Glass,,USA,971.0,,Text102,
Haier,Model103,721.0,A,Single Door,Ice Dispenser,Silver,,8.0,Germany,751.0,3478.0,Text103,Category3
Electrolux,Model104,635.0,A+,Double Door,Smart Connectivity,Gray,Plastic,9.0,Germany,937.0,4756.0,Text104,Category2
Samsung,Model105,108.0,B,Single Door,None,Black,Stainless Steel,9.0,USA,1366.0,2467.0,Text105,Category1
Panasonic,Model106,616.0,A+,Single Door,None,Black,Glass,6.0,USA,1594.0,4106.0,Text106,Category3
Electrolux,Model107,765.0,A+,Double Door,None,White,Stainless Steel,3.0,China,1106.0,2673.0,Text107,Category3
Samsung,Model108,103.0,,Double Door,Smart Connectivity,Gray,Plastic,,,1891.0,1471.0,Text108,Category2
GE,Model109,505.0,A++,Double Door,Water Dispenser,Silver,Glass,4.0,India,1327.0,3573.0,Text109,Category1
Samsung,Model110,708.0,,,Smart Connectivity,Silver,Stainless Steel,,China,1058.0,,Text110,Category3
Haier,Model111,407.0,A+,Side-by-Side,Water Dispenser,Black,Stainless Steel,1.0,USA,1842.0,2489.0,Text111,Category3
Frigidaire,Model112,568.0,A+,,Smart Connectivity,Silver,Glass,1.0,China,435.0,2078.0,Text112,Category2
LG,Model113,304.0,,Side-by-Side,Ice Dispenser,White,Glass,9.0,China,1664.0,3061.0,Text113,Category2
Frigidaire,Model114,117.0,B,Double Door,Water Dispenser,Black,Glass,6.0,India,941.0,3588.0,Text114,Category2
Samsung,Model115,292.0,B,Double Door,Ice Dispenser,Silver,Glass,1.0,China,1519.0,3935.0,Text115,Category1
Bosch,Model116,716.0,B,Single Door,Ice Dispenser,Silver,Stainless Steel,2.0,Germany,353.0,4675.0,Text116,Category1
Siemens,Model117,397.0,A+,Single Door,None,Gray,Glass,9.0,India,,2223.0,Text117,Category1
Bosch,Model118,401.0,B,Side-by-Side,Ice Dispenser,White,,4.0,India,1004.0,,Text118,Category2
Frigidaire,Model119,340.0,A+,Double Door,Water Dispenser,White,,,Germany,1628.0,3916.0,Text119,Category3
LG,Model120,229.0,B,Single Door,Ice Dispenser,Gray,Glass,3.0,USA,1637.0,3711.0,Text120,Category3
LG,Model121,284.0,A+,Single Door,None,White,Plastic,6.0,,278.0,4555.0,Text121,Category2
Haier,Model122,409.0,A+,Single Door,Smart Connectivity,Gray,Plastic,1.0,USA,629.0,2118.0,Text122,Category3
Haier,Model123,120.0,A+,Double Door,Smart Connectivity,Silver,Stainless Steel,6.0,,1924.0,3792.0,Text123,Category2
Bosch,Model124,236.0,A++,Single Door,Ice Dispenser,Black,Stainless Steel,6.0,,266.0,1452.0,Text124,Category3
GE,Model125,790.0,A++,Side-by-Side,Water Dispenser,Gray,Plastic,3.0,India,798.0,4012.0,Text125,Category1
LG,Model126,166.0,A+,Side-by-Side,None,Gray,Plastic,9.0,India,1322.0,4236.0,Text126,
Samsung,Model127,121.0,,Single Door,None,White,Glass,1.0,,203.0,4693.0,Text127,Category2
Bosch,Model128,783.0,A,Double Door,Smart Connectivity,White,Plastic,1.0,China,1739.0,2810.0,Text128,Category2
Siemens,Model129,386.0,A+,Side-by-Side,None,Black,Stainless Steel,7.0,China,465.0,1476.0,Text129,Category1
Whirlpool,Model130,667.0,B,Single Door,Smart Connectivity,White,Stainless Steel,5.0,USA,1511.0,1151.0,Text130,Category2
Frigidaire,,257.0,A+,Side-by-Side,Ice Dispenser,Silver,Glass,2.0,China,319.0,3418.0,Text131,Category2
Whirlpool,,703.0,A,Side-by-Side,Smart Connectivity,Black,Stainless Steel,5.0,USA,1217.0,2907.0,Text132,Category2
Siemens,Model133,608.0,A++,Double Door,None,Silver,Glass,3.0,Germany,523.0,2773.0,Text133,Category2
Haier,Model134,755.0,A,Double Door,Water Dispenser,White,Stainless Steel,7.0,Germany,774.0,4264.0,Text134,Category3
Electrolux,,467.0,A,Side-by-Side,Water Dispenser,White,Glass,9.0,Germany,,1338.0,Text135,Category3
Electrolux,Model136,168.0,A+,Side-by-Side,Water Dispenser,Silver,Plastic,9.0,China,1414.0,2121.0,Text136,Category2
Haier,Model137,502.0,A,Side-by-Side,None,Black,Glass,4.0,Germany,384.0,3504.0,Text137,
Frigidaire,Model138,672.0,A++,Side-by-Side,Smart Connectivity,Black,Stainless Steel,8.0,USA,444.0,1479.0,Text138,Category1
LG,Model139,702.0,A,Double Door,Ice Dispenser,Black,Glass,3.0,USA,1150.0,1445.0,Text139,Category1
Siemens,Model140,337.0,A++,Double Door,Smart Connectivity,Black,Glass,6.0,Germany,1393.0,2718.0,Text140,Category3
Haier,Model141,648.0,B,Double Door,None,Black,Plastic,3.0,Germany,714.0,,Text141,Category3
Panasonic,Model142,140.0,A,Side-by-Side,Water Dispenser,Silver,Stainless Steel,9.0,Germany,1596.0,3116.0,Text142,
Bosch,,485.0,,Double Door,Smart Connectivity,,Stainless Steel,7.0,India,801.0,4554.0,Text143,Category3
Samsung,Model144,342.0,B,Double Door,Water Dispenser,Gray,Glass,2.0,USA,1015.0,1118.0,Text144,Category2
LG,Model145,338.0,A,Side-by-Side,None,Silver,Plastic,3.0,India,1930.0,2665.0,Text145,Category2
Haier,Model146,588.0,A++,Single Door,Ice Dispenser,Black,Plastic,1.0,India,,2927.0,Text146,
Samsung,,,A,Single Door,Ice Dispenser,Silver,Glass,6.0,China,1689.0,2219.0,Text147,Category2
Siemens,Model148,596.0,A,Double Door,Water Dispenser,Black,Plastic,7.0,China,1929.0,2978.0,Text148,Category1
Siemens,Model149,120.0,B,Single Door,Ice Dispenser,Gray,Plastic,5.0,Germany,1120.0,4855.0,Text149,Category2
GE,Model150,377.0,A++,Single Door,Smart Connectivity,White,Plastic,7.0,India,954.0,1750.0,Text150,Category1
Electrolux,Model151,568.0,,Side-by-Side,Smart Connectivity,Silver,Stainless Steel,,China,1732.0,2618.0,Text151,Category2
Samsung,Model152,593.0,A,Side-by-Side,Smart Connectivity,Black,Plastic,3.0,Germany,394.0,3911.0,Text152,Category1
Haier,Model153,,B,Side-by-Side,Water Dispenser,Silver,Stainless Steel,2.0,China,1397.0,1379.0,Text153,
GE,Model154,,B,,Smart Connectivity,Black,Stainless Steel,4.0,Germany,1356.0,3440.0,Text154,Category3
Haier,Model155,646.0,A+,Single Door,Smart Connectivity,Black,,8.0,China,1651.0,3329.0,Text155,Category1
LG,Model156,359.0,B,Double Door,Smart Connectivity,White,Glass,8.0,China,862.0,3587.0,,Category3
Bosch,Model157,664.0,A++,Single Door,Smart Connectivity,White,Plastic,4.0,,994.0,2696.0,Text157,Category1
Bosch,Model158,402.0,A,Double Door,Water Dispenser,White,Glass,3.0,China,1192.0,3359.0,Text158,Category1
Siemens,Model159,639.0,A+,Side-by-Side,Ice Dispenser,Gray,Glass,5.0,Germany,946.0,2925.0,Text159,Category1
Bosch,Model160,647.0,B,Single Door,Ice Dispenser,,Stainless Steel,1.0,Germany,760.0,4992.0,Text160,Category1
LG,Model161,503.0,,Side-by-Side,None,Black,Stainless Steel,4.0,Germany,1067.0,3378.0,Text161,Category3
GE,Model162,474.0,B,Double Door,Ice Dispenser,Silver,Plastic,8.0,China,1249.0,3184.0,,Category2
GE,Model163,662.0,A+,Double Door,None,Gray,Glass,1.0,China,,4971.0,Text163,Category3
Frigidaire,Model164,115.0,A++,Single Door,Water Dispenser,Silver,Stainless Steel,1.0,,,3995.0,Text164,Category1
Frigidaire,Model165,178.0,A+,Double Door,Ice Dispenser,Gray,Glass,7.0,China,946.0,3576.0,Text165,Category2
Bosch,Model166,218.0,A++,Double Door,Water Dispenser,Black,Stainless Steel,5.0,India,1514.0,2348.0,Text166,Category3
Electrolux,Model167,364.0,B,Side-by-Side,None,Silver,Glass,9.0,,751.0,2791.0,Text167,Category1
Siemens,Model168,480.0,A,Side-by-Side,Smart Connectivity,Silver,Stainless Steel,2.0,China,968.0,3137.0,Text168,Category2
Panasonic,Model169,496.0,B,Double Door,Water Dispenser,Gray,Plastic,6.0,China,1488.0,,Text169,
Siemens,Model170,727.0,B,Double Door,None,White,Stainless Steel,2.0,USA,1861.0,2022.0,Text170,Category2
Bosch,Model171,766.0,A+,Side-by-Side,None,Silver,Glass,4.0,India,,3233.0,Text171,Category3
Haier,,596.0,A+,Side-by-Side,Ice Dispenser,Silver,Stainless Steel,,China,1528.0,1761.0,,Category3
Electrolux,Model173,225.0,A,Single Door,None,,Stainless Steel,7.0,China,927.0,4045.0,Text173,Category1
Haier,Model174,391.0,A+,Single Door,Water Dispenser,White,Stainless Steel,2.0,Germany,879.0,3874.0,Text174,Category3
Frigidaire,Model175,407.0,B,Double Door,,Black,Stainless Steel,8.0,USA,646.0,4109.0,Text175,Category2
Samsung,Model176,560.0,B,Single Door,Smart Connectivity,Gray,Glass,9.0,Germany,314.0,4250.0,Text176,Category3
GE,Model177,613.0,A++,Single Door,Smart Connectivity,Silver,Glass,6.0,Germany,538.0,3310.0,Text177,Category3
Whirlpool,Model178,679.0,A+,Single Door,Smart Connectivity,Black,Glass,8.0,China,850.0,4535.0,Text178,Category1
Panasonic,Model179,101.0,A+,Side-by-Side,Smart Connectivity,,Plastic,7.0,China,1767.0,4229.0,Text179,Category3
Frigidaire,Model180,744.0,B,Double Door,Water Dispenser,Black,Glass,4.0,USA,332.0,4198.0,Text180,Category3
Frigidaire,Model181,363.0,A,Double Door,Ice Dispenser,White,Stainless Steel,2.0,China,1300.0,2688.0,Text181,Category1
Electrolux,Model182,618.0,A,Double Door,Ice Dispenser,White,Plastic,1.0,Germany,603.0,1459.0,Text182,Category3
Bosch,Model183,668.0,A,Double Door,Ice Dispenser,Black,Stainless Steel,6.0,Germany,1035.0,3030.0,Text183,Category3
Siemens,Model184,356.0,B,Double Door,Ice Dispenser,White,Glass,7.0,Germany,426.0,3702.0,,Category2
Bosch,Model185,506.0,A++,Single Door,Ice Dispenser,Gray,Plastic,5.0,Germany,1829.0,3048.0,Text185,Category3
Electrolux,Model186,,A+,Side-by-Side,Smart Connectivity,Silver,Glass,,Germany,905.0,2506.0,Text186,Category1
Siemens,Model187,340.0,A++,,None,Black,Stainless Steel,3.0,USA,1603.0,1711.0,Text187,Category2
GE,Model188,753.0,B,Single Door,None,Black,Glass,8.0,India,1519.0,2715.0,Text188,Category1
Samsung,Model189,686.0,A,Double Door,Smart Connectivity,White,Stainless Steel,6.0,USA,477.0,,Text189,Category2
Samsung,Model190,120.0,A++,Side-by-Side,Ice Dispenser,Black,Glass,2.0,India,622.0,3362.0,Text190,Category3
Frigidaire,Model191,490.0,A,Side-by-Side,Water Dispenser,Silver,Plastic,3.0,China,996.0,2733.0,Text191,Category2
Whirlpool,Model192,548.0,A+,Double Door,Ice Dispenser,Black,,6.0,China,1793.0,4139.0,Text192,Category2
Bosch,Model193,591.0,A++,Single Door,None,Black,,6.0,India,571.0,2711.0,Text193,Category2
Samsung,Model194,533.0,A++,Side-by-Side,None,Black,Stainless Steel,4.0,China,1379.0,,Text194,Category3
Panasonic,Model195,258.0,B,Side-by-Side,Smart Connectivity,Gray,,4.0,China,1357.0,3287.0,Text195,Category3
Samsung,Model196,762.0,A+,Side-by-Side,Smart Connectivity,Black,Plastic,9.0,India,845.0,,Text196,Category2
GE,Model197,780.0,A+,Double Door,Ice Dispenser,White,Plastic,1.0,USA,1290.0,3368.0,,Category1
Haier,Model198,749.0,B,Single Door,Smart Connectivity,Gray,Glass,8.0,China,944.0,3565.0,Text198,Category1
Siemens,Model199,538.0,,Single Door,Ice Dispenser,Silver,Stainless Steel,5.0,USA,1602.0,1629.0,Text199,Category2
Haier,Model200,388.0,B,Single Door,Ice Dispenser,Silver,,,USA,1871.0,3629.0,Text200,Category2
Siemens,Model201,200.0,A++,Side-by-Side,Smart Connectivity,Black,Stainless Steel,4.0,China,1668.0,3375.0,Text201,Category1
Haier,Model202,775.0,B,Double Door,Water Dispenser,Black,Plastic,5.0,China,1706.0,1016.0,,Category1
Bosch,Model203,270.0,A+,Single Door,Water Dispenser,White,Plastic,8.0,India,1200.0,1309.0,Text203,Category1
Whirlpool,Model204,248.0,A++,Single Door,Smart Connectivity,Black,Stainless Steel,3.0,India,,3643.0,Text204,Category2
Bosch,Model205,239.0,A,Single Door,Ice Dispenser,Black,Stainless Steel,3.0,USA,1334.0,3338.0,Text205,Category3
Siemens,Model206,141.0,A,Side-by-Side,Smart Connectivity,White,Stainless Steel,3.0,USA,243.0,3931.0,Text206,Category2
Samsung,Model207,622.0,A++,Single Door,Ice Dispenser,Silver,Glass,2.0,Germany,939.0,2901.0,Text207,Category2
Panasonic,Model208,,,Side-by-Side,Ice Dispenser,Black,Plastic,,USA,,3925.0,Text208,Category1
Bosch,Model209,160.0,A++,Side-by-Side,Smart Connectivity,Black,Glass,4.0,USA,280.0,3444.0,Text209,Category1
Frigidaire,Model210,613.0,A++,Side-by-Side,None,Gray,Stainless Steel,3.0,China,1049.0,1209.0,Text210,Category3
Samsung,Model211,507.0,A+,Side-by-Side,None,White,Glass,5.0,India,447.0,4143.0,Text211,Category3
LG,Model212,481.0,A+,Single Door,Ice Dispenser,White,Plastic,5.0,India,1628.0,4189.0,Text212,Category2
Samsung,Model213,209.0,B,Side-by-Side,Smart Connectivity,Black,Plastic,8.0,India,1541.0,4687.0,Text213,Category3
Samsung,Model214,428.0,A++,Double Door,Smart Connectivity,White,Stainless Steel,8.0,China,1019.0,3265.0,Text214,Category2
Frigidaire,Model215,401.0,B,Single Door,Smart Connectivity,Silver,Stainless Steel,4.0,China,1120.0,2548.0,Text215,Category3
Bosch,Model216,559.0,B,Side-by-Side,None,Gray,Glass,6.0,,932.0,1959.0,Text216,Category2
Haier,Model217,,B,Single Door,Ice Dispenser,Silver,Glass,2.0,USA,1156.0,1327.0,Text217,Category3
GE,Model218,546.0,A+,Single Door,Smart Connectivity,Silver,Stainless Steel,8.0,India,1585.0,3666.0,Text218,Category3
GE,Model219,607.0,A,Double Door,Ice Dispenser,Gray,Plastic,8.0,India,368.0,2001.0,Text219,Category3
Haier,Model220,791.0,A+,Side-by-Side,None,White,Plastic,7.0,,1574.0,3126.0,Text220,Category1
GE,Model221,691.0,A++,,Water Dispenser,Silver,Glass,5.0,India,1595.0,,Text221,Category1
Samsung,Model222,764.0,A++,,Smart Connectivity,Gray,Glass,9.0,China,308.0,3608.0,Text222,Category2
Panasonic,Model223,185.0,,Double Door,Ice Dispenser,Silver,Stainless Steel,1.0,Germany,1256.0,1851.0,Text223,Category1
Samsung,Model224,291.0,A++,Side-by-Side,Ice Dispenser,Black,Plastic,9.0,India,677.0,1917.0,Text224,Category2
LG,Model225,603.0,B,Double Door,None,,Stainless Steel,8.0,,298.0,1179.0,Text225,Category2
Samsung,,,A+,Side-by-Side,Smart Connectivity,Black,,9.0,India,312.0,1877.0,Text226,Category2
GE,Model227,710.0,B,Double Door,Ice Dispenser,Silver,,6.0,Germany,1603.0,1071.0,Text227,Category3
Siemens,Model228,297.0,A,Side-by-Side,None,Silver,Stainless Steel,8.0,Germany,649.0,4361.0,Text228,Category3
Siemens,Model229,632.0,A,Single Door,None,Black,Stainless Steel,4.0,India,640.0,2714.0,Text229,Category3
Panasonic,Model230,387.0,A++,Side-by-Side,Ice Dispenser,Gray,Plastic,4.0,Germany,1185.0,3693.0,Text230,Category1
Electrolux,Model231,609.0,A++,Side-by-Side,,Black,Stainless Steel,7.0,India,342.0,2306.0,Text231,Category2
